,CUSTOMER_CODE,CUSTOMER_GROUP,ITEM_CODE,Model,MaterialName,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,ColorName,ProcessName,SurfaceName,INV_DV,HideInCUS030
434,C07011,OTHER,|0200226240|31.80|0.00|3.200|0.000,,STKMHT590,31.8,0.0,3.2,5851.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
435,C07001,HONDA,|0200236041|17.30|0.00|1.200|0.000,K1BF-HII/K40H-HII,STAM390G,17.3,0.0,1.2,5400.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
436,C07002,YAMAHA,|0200220103|13.80|0.00|1.600|0.000,,STKM11A,13.8,0.0,1.6,120.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
438,C07038,TTVN,|0200220810|22.20|0.00|2.300|0.000,,STKM13A,22.2,0.0,2.3,372.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
439,C07029,HONDA,|0200226010|17.30|0.00|1.400|0.000,K1YA/K1ZA,STAM390G,17.3,0.0,1.4,5300.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
440,C07038,TTVN,|0200220810|19.10|0.00|2.300|0.000,,STKM13A,19.1,0.0,2.3,5100.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
443,C07002,YAMAHA,|0200226117|25.40|0.00|2.000|0.000,,STKMHT490,25.4,0.0,2.0,190.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
444,C07001,HONDA,|0200236041|17.30|0.00|1.200|0.000,K1BF-HII/K40H-HII,STAM390G,17.3,0.0,1.2,5600.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
445,C07005,YAMAHA,|0200220810|21.70|0.00|2.000|0.000,,STKM13A,21.7,0.0,2.0,5500.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
446,C07011,HONDA,|0200235920|38.10|0.00|1.200|0.000,,STAM290GA,38.1,0.0,1.2,5450.0,IBC,Piping(Pre-End),Cold  Rolled Steel ,,False
447,C07011,VINFAST,|0200226010|28.60|0.00|2.000|0.000,,STAM390G,28.6,0.0,2.0,5820.0,IBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
448,C07005,YAMAHA,|0200220810|21.70|0.00|2.800|0.000,,STKM13A,21.7,0.0,2.8,5500.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
449,C07001,HONDA,|0200236041|19.10|0.00|1.200|0.000,K1BF-HII/K40H-HII,STAM390G,19.1,0.0,1.2,5200.0,NBC,Piping(Pre-End),Cold  Rolled Steel ,,False
450,C07002,YAMAHA,|0200220810|31.80|0.00|1.600|0.000,,STKM13A,31.8,0.0,1.6,265.0,NBC,Brushing,"Pickled and Oiled,Hot rolled steel",,False
451,C07031,HONDA,|0200226010|19.10|0.00|1.600|0.000,K2CA/K2SG,STAM390G,19.1,0.0,1.6,5680.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
452,C07038,TTVN,|0200230841|19.10|0.00|1.200|0.000,,STKM13A,19.1,0.0,1.2,1575.0,NBC,Brushing,Cold  Rolled Steel ,,False
453,C07029,HONDA,|0200226010|19.10|0.00|2.000|0.000,K66,STAM390G,19.1,0.0,2.0,5800.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
454,C07029,HONDA,|0200226010|19.10|0.00|2.000|0.000,K12M,STAM390G,19.1,0.0,2.0,6050.0,NBC,Piping(Pre-End),"Pickled and Oiled,Hot rolled steel",,False
