CUSTOMER_CODE,ITEM_CODE,GROUP_CODE,GROUP_NAME,DIAMETER1,DIAMETER2,THICKNESS,LENGTH,BeatCut,TotalLast_StockOut,TotalStockOut,HisStockOut,StockOut,TotalCurrentStock,TotalPln,PlnQty,future_Stock,ikey
,|0101022500|0.00|0.00|0.000|66.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,5028.0,,,5028.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|67.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,3227.0,,,3227.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|67.500,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,723.0,,,723.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|75.500,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,9022.0,,,9022.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|76.500,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,1180.0,,,1180.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|77.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,6396.0,,,6396.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|78.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,1724.0,,,1724.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|800.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,41070.0,,,41070.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|85.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,1407.0,,,1407.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|85.500,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,1301.0,,,1301.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|850.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,12770.0,,,12770.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|87.500,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,1047.0,,,1047.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|870.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,29120.0,,,29120.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|950.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,42680.0,,,42680.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|960.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,41800.0,,,41800.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|97.000,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,0.0,,,0.0,25xJFE-HA540Rx0x0x0x0
,|0101022500|0.00|0.00|0.000|98.500,25,JFE-HA540R,0.0,0.0,0.0,0.0,NBC,,,,,12220.0,,,12220.0,25xJFE-HA540Rx0x0x0x0
,|0101022600|0.00|0.00|0.000|78.000,26,JFE-HA590R,0.0,0.0,0.0,0.0,NBC,,,,,6540.0,,,6540.0,26xJFE-HA590Rx0x0x0x0
C07032,|0200262901|22.20|0.00|1.200|0.000,29,SUS409L,22.2,0.0,1.2,338.0,IBC,19269.0,7594.0,19269.0,7594.0,7374.0,4198.0,4198.0,3176.0,29xSUS409Lx22.2x0x1.2x338
,|0200262901|22.20|0.00|1.200|0.000,29,SUS409L,22.2,0.0,1.2,435.0,IBC,,,,,686.0,,,686.0,29xSUS409Lx22.2x0x1.2x435
C07032,|0200262901|22.20|0.00|1.200|0.000,29,SUS409L,22.2,0.0,1.2,449.6,IBC,3.0,,3.0,0.0,91.0,,,91.0,29xSUS409Lx22.2x0x1.2x449.6
C07032,|0200262901|22.20|0.00|1.200|0.000,29,SUS409L,22.2,0.0,1.2,485.0,IBC,10.0,,10.0,0.0,716.0,,,716.0,29xSUS409Lx22.2x0x1.2x485
,|0200262901|22.20|0.00|1.200|0.000,29,SUS409L,22.2,0.0,1.2,510.0,IBC,,,,,22.0,,,22.0,29xSUS409Lx22.2x0x1.2x510
