ID,ItemNo,CUSTOMER_CODE,CUSTOMER_GROUP,ITEM_CODE,DLV_PLACE,Model,PartNo,PartName,MaterialCode,MaterialName,SURFACE_CODE,COLOR_CODE,LENGTH,PROCESSING_CODE,SpecialReq,Commodity,SymbolItem,QualityInf,Other,Rate,HideInCUS030,ReqForDLV,ModifyDate,QRCodeInfo1,QRCodeCus,ApplyDate_QRCode,INV_DV,LockItem,INPUT_DATE,INPUT_PERSON,MODIFY_DATE,MODIFY_PERSON,DIAMETER1,DIAMETER2,THICKNESS,SurfaceName,ColorName,ProcessName,Size,QUANTITY,TOLERANCE,isUsed
721,2,C07035,VINFAST,|0200226010|28.60|0.00|2.000|0.000,,,,,60,STAM390G,03,00,5500.0,08,,,E-G,,,0.0,False,,2022-04-20 00:00:00,E8||,,,,False,2022-04-20 15:47:59,id02,2023-10-19 09:24:13,id02,28.6,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),28.6 x 2.0,169.0,+15.0 mm*-0.0 mm,0
779,2,C07053,,|0200210911|125.00|75.00|3.200|0.000,,,,,09,STKR400,03,00,4100.0,08,,,E-G,,,0.0,False,,2022-09-20 00:00:00,E8||,,,,False,2022-09-20 15:45:13,id02,2022-11-24 09:36:29,id02,125.0,75.0,3.2,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),125 x 75 x 3.2,0.0,,0
694,2,C07052,OTHER,|0200220139|15.90|0.00|2.300|0.000,MIKASA,,,,01,STKM11A,03,00,6161.0,08,,,E-G,,,0.0,False,,2021-10-08 15:45:46,,,,,False,2021-10-08 15:45:46,id02,2021-10-08 15:45:46,id02,15.9,0.0,2.3,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),15.9 x 2.3,331.0,+15.0 mm*-0.0 mm,0
719,2,C07037,HONDA,|0200226010|19.10|0.00|2.000|0.000,EMTC,K2TA,"50530-K2TA-V003-XA
",Pipe,60,STAM390G,03,00,5800.0,08,,,E-G,,,0.0,False,,2022-03-05 00:00:00,"E8|Pipe|50530-K2TA-V003-XA
",,,,False,2022-03-05 08:40:22,id02,2023-05-11 10:04:51,id02,19.1,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),19.1 x 2.0,169.0,-0.0 mm*+15.0 mm,0
659,2,C07028,,|0200226339|40.00|20.00|1.600|0.000,,,,,63,STKMRR290,03,00,6065.0,08,,,E-G,,,0.0,True,,2021-05-21 00:00:00,,,,,False,2021-05-21 15:54:43,id02,2022-02-16 14:23:30,id02,40.0,20.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),40 x 20 x 1.6,0.0,,0
626,2,C07050,VINFAST,|0200226339|40.00|20.00|2.300|0.000,VINFAST,VF,5300008450 TUB_STKM11A_40x20_L200_T2.3,TUB00000010,63,STKMRR290,03,00,200.0,05,,,E-G,,,0.0,False,,2021-04-15 00:00:00,E8|TUB00000010|5300008450 TUB_STKM11A_40x20_L200_T2.3,,,,False,2021-04-15 16:05:29,id02,2023-10-17 11:59:09,id02,40.0,20.0,2.3,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,40 x 20 x 2.3,25.0,+0.5 mm*-0.5mm,0
646,2,C07049,VINFAST,|0200226010|22.20|0.00|2.000|0.000,LAM SON,,,,60,STAM390G,03,00,5500.0,08,,,E-G,,,0.0,False,,2021-05-17 00:00:00,,,,,False,2021-05-17 14:24:55,id06,2022-09-20 10:45:55,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 2.0,169.0,-0.0 mm*+15 mm,0
616,2,C07010,HONDA,|0200230742|25.00|55.00|1.600|0.000,,,,,07,HSST590C,01,01,567.0,05,,,E-G,,,0.0,True,,2021-04-02 00:00:00,,,,,False,2021-04-02 08:53:11,id02,2023-05-11 10:17:21,id02,25.0,55.0,1.6,Cold  Rolled Steel ,IBC,Brushing,25 x 55 x 1.6,1000.0,+0.5 mm*-0.5 mm,0
524,2,C07045,HONDA,|0200225900|15.00|10.30|2.350|0.000,ANH TRANG,,,,59,STAM290GA,03,01,5700.0,08,,,E-C,,,0.0,False,CHU Y,2021-02-27 00:00:00,,,,,False,2021-02-27 17:05:53,id12,2023-05-11 10:02:36,id02,15.0,10.3,2.35,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),15 x 10.3 x 2.35,217.0,+15.0 mm*-0.0 mm,0
531,2,C07048,VINFAST,|0200220139|22.20|0.00|1.600|0.000,,,,,01,STKM11A,03,00,950.0,05,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 17:14:38,id12,2022-07-07 08:37:09,id02,22.2,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,22.2 x 1.6,300.0,+0.5 mm*-0.5 mm,0
505,2,C07033,HONDA,|0200262901|38.10|0.00|1.200|0.000,MFVN,,,,29,SUS409L,01,01,150.0,08,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 16:31:11,id12,2021-11-25 09:34:51,id02,38.1,0.0,1.2,Cold  Rolled Steel ,IBC,Piping(Pre-End),38.1 x 1.2,0.0,,0
521,2,C07042,HONDA,|0200225926|48.60|0.00|3.500|0.000,MFVN,K56R,,,59,STAM290GA,03,01,5195.0,08,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 17:01:48,id12,2023-06-07 15:35:25,ID02,48.6,0.0,3.5,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),48.6 x 3.5,0.0,,0
510,2,C07036,,|0200226010|17.30|0.00|1.600|0.000,MEIKO,,,,60,STAM390G,03,00,5600.0,08,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 16:35:13,id12,2022-02-16 14:23:45,id02,17.3,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),17.3 x 1.6,271.0,-0.0 mm*+15.0 mm,0
475,2,C07027,HONDA,|0200230120|38.10|0.00|1.200|0.000,,,,,01,STKM11A,01,00,5450.0,08,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 15:34:57,id12,2023-06-30 13:45:17,id02,38.1,0.0,1.2,Cold  Rolled Steel ,NBC,Piping(Pre-End),38.1 x 1.2,61.0,+0.0 mm*+15 mm,0
465,2,C07019,,|0200230841|38.10|0.00|1.200|0.000,MITSUI VN,,,,08,STKM13A,01,00,6000.0,08,,,E-G,,,0.0,False,,2021-02-27 00:00:00,,,,,False,2021-02-27 15:16:53,id12,2022-02-16 14:22:44,id02,38.1,0.0,1.2,Cold  Rolled Steel ,NBC,Piping(Pre-End),38.1 x 1.2,127.0,+0.0 mm*+15.0 mm,0
448,2,C07008,YAMAHA,|0200226117|22.20|0.00|1.600|0.000,,,,,61,STKMHT490,03,00,706.5,05,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 14:16:44,id12,2023-02-03 10:35:17,id02,22.2,0.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,Brushing,22.2 x 1.6,0.0,,0
456,2,C07009,,|0200226339|50.00|30.00|1.600|0.000,,,,,63,STKMRR290,03,00,5500.0,04,,,E-G,,,0.0,True,,2021-02-27 00:00:00,,,,,False,2021-02-27 14:25:07,id12,2022-02-16 14:22:05,id02,50.0,30.0,1.6,"Pickled and Oiled,Hot rolled steel",NBC,As Cut,50 x 30 x 1.6,120.0,+0.0 mm*+15 mm,0
302,2,C07030,HONDA,|0200262901|38.10|0.00|1.200|0.000,TNK,K12,18310-K12-V800-35-01,"CAP, CATALYST",29,SUS409L,01,01,5800.0,08,,,E-G,,,0.0,True,,2021-01-12 00:00:00,,,,,False,2021-01-12 13:04:18,id12,2023-07-24 09:17:04,id02,38.1,0.0,1.2,Cold  Rolled Steel ,IBC,Piping(Pre-End),38.1 x 1.2,59.0,+0.0 mm*+15.0 mm,0
299,2,C07029,HONDA,|0200225900|15.00|10.30|2.350|0.000,INT,K0RA,133.1,,59,STAM290GA,03,01,5900.0,08,,,E-C,,,0.0,False,,2021-01-12 00:00:00,,,,,False,2021-01-12 12:00:34,id12,2023-11-03 08:49:45,id02,15.0,10.3,2.35,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),15 x 10.3 x 2.35,0.0,,0
291,2,C07032,HONDA,|0200226010|22.20|0.00|2.000|0.000,GTA,SP,K1290-053-55,PIPE HANDLE,60,STAM390G,03,01,757.0,07,,,E-G,,,0.0,False,,2021-01-12 00:00:00,,,,,False,2021-01-12 11:39:26,id12,2023-12-18 09:23:09,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",IBC,Punching,22.2 x 2.0,500.0,Ø8(+2.0/+0.0),0
285,2,C07025,,|0200226010|22.20|0.00|2.000|0.000,,,,,60,STAM390G,03,00,5110.0,08,,,E-G,,,0.0,True,,2021-01-12 00:00:00,,,,,False,2021-01-12 11:26:21,id12,2023-04-12 08:38:20,id02,22.2,0.0,2.0,"Pickled and Oiled,Hot rolled steel",NBC,Piping(Pre-End),22.2 x 2.0,169.0,-0.0 mm*+15 mm,0
278,2,C07011,VINFAST,|0200220810|34.00|0.00|2.600|0.000,NM 3,,,,08,STKM13A,03,01,5850.0,08,,,E-G,,,0.0,True,,2021-01-12 00:00:00,,,,,False,2021-01-12 11:19:21,id12,2023-10-31 13:42:55,id02,34.0,0.0,2.6,"Pickled and Oiled,Hot rolled steel",IBC,Piping(Pre-End),34 x 2.6,91.0,+15 mm*- 0.0mm,0
