ParentItemCode,ParentThickness2,ParentLength,ChildItemCode,ChildThickness2,ChildLength,ParentQty,ProcessCode,Main_Material
|0200226240|28.60|0.00|2.300|0.000,0.0,250.0,|0200226240|28.60|0.00|2.300|0.000,0.0,6127.0,24.0,CT,
|0200226117|19.10|0.00|2.000|0.000,0.0,266.0,|0200226117|19.10|0.00|2.000|0.000,0.0,5771.0,21.0,CT,
|0200226339|50.00|30.00|1.600|0.000,0.0,6450.0,|0101022000|0.00|0.00|0.000|156.000,1.6,0.0,1.0,CO,
|0200226240|28.60|0.00|2.300|0.000,0.0,354.0,|0200226240|28.60|0.00|2.300|0.000,0.0,6127.0,17.0,CT,
|0200226240|28.60|0.00|2.300|0.000,0.0,383.0,|0200226240|28.60|0.00|2.300|0.000,0.0,5875.0,15.0,CT,
|0200262901|22.20|0.00|1.200|0.000,0.0,5917.0,|0101100900|0.00|0.00|0.000|69.500,1.2,0.0,1.0,CO,
|0200226240|19.10|0.00|1.600|0.000,0.0,306.0,|0200226240|19.10|0.00|1.600|0.000,0.0,5921.0,19.0,CT,
|0200226240|35.00|0.00|2.600|0.000,0.0,6135.0,|0101022500|0.00|0.00|0.000|105.500,2.6,0.0,1.0,CO,
|0200220139|48.60|0.00|2.000|0.000,0.0,5590.0,|0101022000|0.00|0.00|0.000|150.500,2.0,0.0,1.0,CO,
|0200226240|28.60|0.00|2.300|0.000,0.0,296.0,|0200226240|28.60|0.00|2.300|0.000,0.0,6059.0,20.0,CT,
|0200220810|38.10|0.00|2.300|0.000,0.0,430.0,|0200220810|38.10|0.00|2.300|0.000,0.0,6213.0,14.0,CM,
|0200220139|48.60|0.00|2.000|0.000,0.0,1846.0,|0200220139|48.60|0.00|2.000|0.000,0.0,5590.0,3.0,CM,
|0200226010|48.60|0.00|3.500|0.000,0.0,5500.0,|0101021700|0.00|0.00|0.000|146.500,3.5,0.0,1.0,CO,
|0200226010|42.70|0.00|1.600|0.000,0.0,5972.0,|0101021700|0.00|0.00|0.000|132.000,1.6,0.0,1.0,CO,
|0200225926|48.60|0.00|3.500|0.000,0.0,20.0,|0200225926|48.60|0.00|3.500|0.000,0.0,208.5,1.0,TO,
|0200225926|48.60|0.00|3.500|0.000,0.0,207.0,|0200225926|48.60|0.00|3.500|0.000,0.0,208.5,1.0,TO,
